"STATION","DATE","TAVG"
"USW00013960","2010-07-01",
"USW00013960","2010-07-02",
"USW00013960","2010-07-03",
"USW00013960","2010-07-04",
"USW00013960","2010-07-05",
"USW00013960","2010-07-06",
"USW00013960","2010-07-07",
"USW00013960","2010-07-08",
"USW00013960","2010-07-09",
"USW00013960","2010-07-10",
"USW00013960","2010-07-11",
"USW00013960","2010-07-12",
"USW00013960","2010-07-13",
"USW00013960","2010-07-14",
"USW00013960","2010-07-15",
"USW00013960","2010-07-16",
"USW00013960","2010-07-17",
"USW00013960","2010-07-18",
"USW00013960","2010-07-19",
"USW00013960","2010-07-20",
"USW00013960","2010-07-21",
"USW00013960","2010-07-22",
"USW00013960","2010-07-23",
"USW00013960","2010-07-24",
"USW00013960","2010-07-25",
"USW00013960","2010-07-26",
"USW00013960","2010-07-27",
"USW00013960","2010-07-28",
"USW00013960","2010-07-29",
"USW00013960","2010-07-30",
"USW00013960","2010-07-31",
"USW00013960","2010-08-01",
"USW00013960","2010-08-02",
"USW00013960","2010-08-03",
"USW00013960","2010-08-04",
"USW00013960","2010-08-05",
"USW00013960","2010-08-06",
"USW00013960","2010-08-07",
"USW00013960","2010-08-08",
"USW00013960","2010-08-09",
"USW00013960","2010-08-10",
"USW00013960","2010-08-11",
"USW00013960","2010-08-12",
"USW00013960","2010-08-13",
"USW00013960","2010-08-14",
"USW00013960","2010-08-15",
"USW00013960","2010-08-16",
"USW00013960","2010-08-17",
"USW00013960","2010-08-18",
"USW00013960","2010-08-19",
"USW00013960","2010-08-20",
"USW00013960","2010-08-21",
"USW00013960","2010-08-22",
"USW00013960","2010-08-23",
"USW00013960","2010-08-24",
"USW00013960","2010-08-25",
"USW00013960","2010-08-26",
"USW00013960","2010-08-27",
"USW00013960","2010-08-28",
"USW00013960","2010-08-29",
"USW00013960","2010-08-30",
"USW00013960","2010-08-31",
"USW00013960","2010-09-01",
"USW00013960","2010-09-02",
"USW00013960","2010-09-03",
"USW00013960","2010-09-04",
"USW00013960","2010-09-05",
"USW00013960","2010-09-06",
"USW00013960","2010-09-07",
"USW00013960","2010-09-08",
"USW00013960","2010-09-09",
"USW00013960","2010-09-10",
"USW00013960","2010-09-11",
"USW00013960","2010-09-12",
"USW00013960","2010-09-13",
"USW00013960","2010-09-14",
"USW00013960","2010-09-15",
"USW00013960","2010-09-16",
"USW00013960","2010-09-17",
"USW00013960","2010-09-18",
"USW00013960","2010-09-19",
"USW00013960","2010-09-20",
"USW00013960","2010-09-21",
"USW00013960","2010-09-22",
"USW00013960","2010-09-23",
"USW00013960","2010-09-24",
"USW00013960","2010-09-25",
"USW00013960","2010-09-26",
"USW00013960","2010-09-27",
"USW00013960","2010-09-28",
"USW00013960","2010-09-29",
"USW00013960","2010-09-30",
"USW00013960","2010-10-01",
"USW00013960","2010-10-02",
"USW00013960","2010-10-03",
"USW00013960","2010-10-04",
"USW00013960","2010-10-05",
"USW00013960","2010-10-06",
"USW00013960","2010-10-07",
"USW00013960","2010-10-08",
"USW00013960","2010-10-09",
"USW00013960","2010-10-10",
"USW00013960","2010-10-11",
"USW00013960","2010-10-12",
"USW00013960","2010-10-13",
"USW00013960","2010-10-14",
"USW00013960","2010-10-15",
"USW00013960","2010-10-16",
"USW00013960","2010-10-17",
"USW00013960","2010-10-18",
"USW00013960","2010-10-19",
"USW00013960","2010-10-20",
"USW00013960","2010-10-21",
"USW00013960","2010-10-22",
"USW00013960","2010-10-23",
"USW00013960","2010-10-24",
"USW00013960","2010-10-25",
"USW00013960","2010-10-26",
"USW00013960","2010-10-27",
"USW00013960","2010-10-28",
"USW00013960","2010-10-29",
"USW00013960","2010-10-30",
"USW00013960","2010-10-31",
"USW00013960","2010-11-01",
"USW00013960","2010-11-02",
"USW00013960","2010-11-03",
"USW00013960","2010-11-04",
"USW00013960","2010-11-05",
"USW00013960","2010-11-06",
"USW00013960","2010-11-07",
"USW00013960","2010-11-08",
"USW00013960","2010-11-09",
"USW00013960","2010-11-10",
"USW00013960","2010-11-11",
"USW00013960","2010-11-12",
"USW00013960","2010-11-13",
"USW00013960","2010-11-14",
"USW00013960","2010-11-15",
"USW00013960","2010-11-16",
"USW00013960","2010-11-17",
"USW00013960","2010-11-18",
"USW00013960","2010-11-19",
"USW00013960","2010-11-20",
"USW00013960","2010-11-21",
"USW00013960","2010-11-22",
"USW00013960","2010-11-23",
"USW00013960","2010-11-24",
"USW00013960","2010-11-25",
"USW00013960","2010-11-26",
"USW00013960","2010-11-27",
"USW00013960","2010-11-28",
"USW00013960","2010-11-29",
"USW00013960","2010-11-30",
"USW00013960","2010-12-01",
"USW00013960","2010-12-02",
"USW00013960","2010-12-03",
"USW00013960","2010-12-04",
"USW00013960","2010-12-05",
"USW00013960","2010-12-06",
"USW00013960","2010-12-07",
"USW00013960","2010-12-08",
"USW00013960","2010-12-09",
"USW00013960","2010-12-10",
"USW00013960","2010-12-11",
"USW00013960","2010-12-12",
"USW00013960","2010-12-13",
"USW00013960","2010-12-14",
"USW00013960","2010-12-15",
"USW00013960","2010-12-16",
"USW00013960","2010-12-17",
"USW00013960","2010-12-18",
"USW00013960","2010-12-19",
"USW00013960","2010-12-20",
"USW00013960","2010-12-21",
"USW00013960","2010-12-22",
"USW00013960","2010-12-23",
"USW00013960","2010-12-24",
"USW00013960","2010-12-25",
"USW00013960","2010-12-26",
"USW00013960","2010-12-27",
"USW00013960","2010-12-28",
"USW00013960","2010-12-29",
"USW00013960","2010-12-30",
"USW00013960","2010-12-31",
"USW00013960","2011-01-01",
"USW00013960","2011-01-02",
"USW00013960","2011-01-03",
"USW00013960","2011-01-04",
"USW00013960","2011-01-05",
"USW00013960","2011-01-06",
"USW00013960","2011-01-07",
"USW00013960","2011-01-08",
"USW00013960","2011-01-09",
"USW00013960","2011-01-10",
"USW00013960","2011-01-11",
"USW00013960","2011-01-12",
"USW00013960","2011-01-13",
"USW00013960","2011-01-14",
"USW00013960","2011-01-15",
"USW00013960","2011-01-16",
"USW00013960","2011-01-17",
"USW00013960","2011-01-18",
"USW00013960","2011-01-19",
"USW00013960","2011-01-20",
"USW00013960","2011-01-21",
"USW00013960","2011-01-22",
"USW00013960","2011-01-23",
"USW00013960","2011-01-24",
"USW00013960","2011-01-25",
"USW00013960","2011-01-26",
"USW00013960","2011-01-27",
"USW00013960","2011-01-28",
"USW00013960","2011-01-29",
"USW00013960","2011-01-30",
"USW00013960","2011-01-31",
"USW00013960","2011-02-01",
"USW00013960","2011-02-02",
"USW00013960","2011-02-03",
"USW00013960","2011-02-04",
"USW00013960","2011-02-05",
"USW00013960","2011-02-06",
"USW00013960","2011-02-07",
"USW00013960","2011-02-08",
"USW00013960","2011-02-09",
"USW00013960","2011-02-10",
"USW00013960","2011-02-11",
"USW00013960","2011-02-12",
