"STATION","DATE","TOBS"
"USC00410433","2013-11-04","57"
"USC00410433","2013-11-05","65"
"USC00410433","2013-11-06","62"
"USC00410433","2013-11-07","39"
"USC00410433","2013-11-08","48"
"USC00410433","2013-11-09","53"
"USC00410433","2013-11-10","58"
"USC00410433","2013-11-11","48"
"USC00410433","2013-11-12","55"
"USC00410433","2013-11-13","32"
"USC00410433","2013-11-14","30"
"USC00410433","2013-11-15","47"
"USC00410433","2013-11-16","63"
"USC00410433","2013-11-17","70"
"USC00410433","2013-11-18","58"
"USC00410433","2013-11-19","54"
"USC00410433","2013-11-20","56"
"USC00410433","2013-11-21","68"
"USC00410433","2013-11-22","39"
"USC00410433","2013-11-23","34"
"USC00410433","2013-11-24","38"
"USC00410433","2013-11-25","33"
"USC00410433","2013-11-26","36"
"USC00410433","2013-11-27","30"
"USC00410433","2013-11-28","32"
"USC00410433","2013-11-29","32"
"USC00410433","2013-11-30","49"
"USC00410433","2013-12-01","51"
"USC00410433","2013-12-02","54"
"USC00410433","2013-12-03","49"
"USC00410433","2013-12-04","54"
"USC00410433","2013-12-05","43"
"USC00410433","2013-12-06","31"
"USC00410433","2013-12-07","23"
"USC00410433","2013-12-08","29"
"USC00410433","2013-12-09","36"
"USC00410433","2013-12-10","25"
"USC00410433","2013-12-11","31"
"USC00410433","2013-12-12","30"
"USC00410433","2013-12-13","42"
"USC00410433","2013-12-14","42"
"USC00410433","2013-12-15","29"
"USC00410433","2013-12-16","32"
"USC00410433","2013-12-17","37"
"USC00410433","2013-12-18","41"
"USC00410433","2013-12-19","56"
"USC00410433","2013-12-20","64"
"USC00410433","2013-12-21","43"
"USC00410433","2013-12-22","40"
"USC00410433","2013-12-23","29"
"USC00410433","2013-12-24","27"
"USC00410433","2013-12-25","38"
"USC00410433","2013-12-26","35"
"USC00410433","2013-12-27","42"
"USC00410433","2013-12-28","41"
"USC00410433","2013-12-29","43"
"USC00410433","2013-12-30","33"
"USC00410433","2013-12-31","33"
"USC00410433","2014-01-01","35"
"USC00410433","2014-01-02","33"
"USC00410433","2014-01-03","23"
"USC00410433","2014-01-04","44"
"USC00410433","2014-01-05","35"
"USC00410433","2014-01-06","19"
"USC00410433","2014-01-07","17"
"USC00410433","2014-01-08","38"
"USC00410433","2014-01-09","52"
"USC00410433","2014-01-10","61"
"USC00410433","2014-01-11","45"
"USC00410433","2014-01-12","50"
"USC00410433","2014-01-13","51"
"USC00410433","2014-01-14","36"
"USC00410433","2014-01-15","34"
"USC00410433","2014-01-16","35"
"USC00410433","2014-01-17","44"
"USC00410433","2014-01-18","33"
"USC00410433","2014-01-19","42"
"USC00410433","2014-01-20","45"
"USC00410433","2014-01-21","44"
"USC00410433","2014-01-22","38"
"USC00410433","2014-01-23","45"
"USC00410433","2014-01-24","25"
"USC00410433","2014-01-25","25"
"USC00410433","2014-01-26","41"
"USC00410433","2014-01-27","46"
"USC00410433","2014-01-28","24"
"USC00410433","2014-01-29","23"
"USC00410433","2014-01-30","35"
"USC00410433","2014-01-31","54"
"USC00410433","2014-02-01","63"
"USC00410433","2014-02-02","37"
"USC00410433","2014-02-03","31"
"USC00410433","2014-02-04","40"
"USC00410433","2014-02-05","37"
"USC00410433","2014-02-06","23"
"USC00410433","2014-02-07","26"
"USC00410433","2014-02-08","35"
"USC00410433","2014-02-09","37"
"USC00410433","2014-02-10","38"
"USC00410433","2014-02-11","31"
"USC00410433","2014-02-12","31"
"USC00410433","2014-02-13","29"
"USC00410433","2014-02-14","44"
"USC00410433","2014-02-15","38"
"USC00410433","2014-02-16","56"
"USC00410433","2014-02-17","62"
"USC00410433","2014-02-18","53"
"USC00410433","2014-02-19","60"
"USC00410433","2014-02-20","65"
"USC00410433","2014-02-21","36"
"USC00410433","2014-02-22","44"
"USC00410433","2014-02-23","58"
"USC00410433","2014-02-24","50"
"USC00410433","2014-02-25","63"
"USC00410433","2014-02-26","37"
"USC00410433","2014-02-27","26"
"USC00410433","2014-02-28","43"
"USC00410433","2014-03-01","53"
"USC00410433","2014-03-02","67"
"USC00410433","2014-03-03","20"
"USC00410433","2014-03-04","29"
"USC00410433","2014-03-05","37"
"USC00410433","2014-03-06","40"
"USC00410433","2014-03-07","41"
"USC00410433","2014-03-08","54"
"USC00410433","2014-03-09","37"
"USC00410433","2014-03-10","47"
"USC00410433","2014-03-11","54"
"USC00410433","2014-03-12","47"
"USC00410433","2014-03-13","34"
"USC00410433","2014-03-14","50"
"USC00410433","2014-03-15","61"
"USC00410433","2014-03-16","55"
"USC00410433","2014-03-17","40"
"USC00410433","2014-03-18","47"
"USC00410433","2014-03-19","52"
"USC00410433","2014-03-20","42"
"USC00410433","2014-03-21","54"
"USC00410433","2014-03-22","63"
"USC00410433","2014-03-23","51"
"USC00410433","2014-03-24","48"
"USC00410433","2014-03-25","43"
"USC00410433","2014-03-26","53"
"USC00410433","2014-03-27","60"
"USC00410433","2014-03-28","66"
"USC00410433","2014-03-29","50"
"USC00410433","2014-03-30","45"
"USC00410433","2014-03-31","60"
"USC00410433","2014-04-01","64"
"USC00410433","2014-04-02","68"
"USC00410433","2014-04-03","69"
"USC00410433","2014-04-04","53"
"USC00410433","2014-04-05","52"
"USC00410433","2014-04-06","50"
"USC00410433","2014-04-07","50"
"USC00410433","2014-04-08","46"
"USC00410433","2014-04-09","46"
"USC00410433","2014-04-10","60"
"USC00410433","2014-04-11","61"
"USC00410433","2014-04-12","64"
"USC00410433","2014-04-13","66"
"USC00410433","2014-04-14","52"
"USC00410433","2014-04-15","36"
"USC00410433","2014-04-16","37"
"USC00410433","2014-04-17","55"
"USC00410433","2014-04-18","58"
"USC00410433","2014-04-19","53"
"USC00410433","2014-04-20","60"
"USC00410433","2014-04-21","64"
"USC00410433","2014-04-22","63"
"USC00410433","2014-04-23","57"
"USC00410433","2014-04-24","65"
"USC00410433","2014-04-25","61"
"USC00410433","2014-04-26","67"
"USC00410433","2014-04-27","71"
"USC00410433","2014-04-28","68"
"USC00410433","2014-04-29","63"
"USC00410433","2014-04-30","54"
"USC00410433","2014-05-01","50"
"USC00410433","2014-05-02","52"
"USC00410433","2014-05-03","53"
"USC00410433","2014-05-04","61"
"USC00410433","2014-05-05","59"
"USC00410433","2014-05-06","64"
"USC00410433","2014-05-07","68"
"USC00410433","2014-05-08","72"
"USC00410433","2014-05-09","72"
"USC00410433","2014-05-10","60"
"USC00410433","2014-05-11","71"
"USC00410433","2014-05-12","75"
"USC00410433","2014-05-13","54"
"USC00410433","2014-05-14","49"
"USC00410433","2014-05-15","44"
"USC00410433","2014-05-16","59"
"USC00410433","2014-05-17","59"
"USC00410433","2014-05-18","61"
"USC00410433","2014-05-19","65"
"USC00410433","2014-05-20","66"
"USC00410433","2014-05-21","68"
"USC00410433","2014-05-22","68"
"USC00410433","2014-05-23","69"
"USC00410433","2014-05-24","69"
"USC00410433","2014-05-25","69"
"USC00410433","2014-05-26","65"
"USC00410433","2014-05-27","61"
"USC00410433","2014-05-28","67"
"USC00410433","2014-05-29","63"
"USC00410433","2014-05-30","66"
"USC00410433","2014-05-31","67"
"USC00410433","2014-06-01","71"
"USC00410433","2014-06-02","73"
"USC00410433","2014-06-03","73"
"USC00410433","2014-06-04","73"
"USC00410433","2014-06-05","73"
"USC00410433","2014-06-06","72"
